,Company,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price
52,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,0,256,0,AMD Radeon,Windows 10,1.86,inf
53,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.49,inf
54,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,1000,0,0,Intel HD Graphics,Windows 10,2.4,inf
55,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.13,inf
56,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,Windows 10,1.91,inf
57,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,Intel HD Graphics,Windows 10,2.0,inf
58,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,2.43,inf
59,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,Intel HD Graphics,Linux,2.0,inf
60,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Windows 10,2.8,inf
61,Dell,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.7,inf
62,Lenovo,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,8,0,256,0,Intel HD Graphics,No OS,1.7,inf
63,Asus,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.4,inf
64,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.86,inf
65,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,1.8,inf
66,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,AMD Radeon,Windows 10,1.86,inf
67,HP,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,32,0,Intel HD Graphics,Windows 10,1.44,inf
68,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,1.9,inf
69,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,12,1000,0,0,Nvidia GeForce GTX,Linux,3.0,inf
70,Microsoft,Ultrabook,13.5,2256x1504,2256,1504,0,1,0,0,1,Intel Core i5,2.5,4,0,128,0,Intel HD Graphics,Windows 10 S,1.252,inf
71,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,1.4,inf
72,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.2,inf
73,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.7,inf
74,Acer,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,8,1000,0,0,Intel HD Graphics,Windows 10,2.1,inf
75,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,2.2,inf
76,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,2000,0,0,Intel HD Graphics,No OS,2.2,inf
77,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,Intel UHD Graphics,Windows 10,2.02,inf
78,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.7,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,inf
79,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.5,inf
80,Dell,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.88,inf
81,Apple,Ultrabook,12.0,2304x1440,2304,1440,0,1,0,1,0,Intel Core i5,1.3,8,0,512,0,Intel HD Graphics,Mac,0.92,inf
82,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel HD Graphics,Windows 10,1.63,inf
83,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,0,128,0,AMD Radeon,Windows 10,2.2,inf
84,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,2.1,inf
85,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,128,0,Nvidia GeForce GTX,Windows 10,2.65,inf
86,HP,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,1.83,inf
87,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.96,inf
88,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,128,0,Nvidia GeForce GTX,Windows 10,2.2,inf
89,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,inf
90,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,8,1000,0,0,AMD Radeon,Windows 10,2.45,inf
91,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,inf
92,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.49,inf
93,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.65,inf
94,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.25,inf
95,Acer,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.5,inf
96,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,AMD Radeon,Linux,2.2,inf
97,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,AMD Radeon,Linux,2.2,inf
98,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,6,0,256,0,Nvidia GeForce M,Windows 10,2.0,inf
99,HP,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,12,1000,128,0,Nvidia GeForce GTX,Windows 10,2.62,inf
100,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,1.91,inf
101,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,Windows 10,2.1,inf
102,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,AMD Radeon,Linux,2.2,inf
103,HP,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.38,inf
104,Microsoft,Ultrabook,13.5,2256x1504,2256,1504,0,1,0,0,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10 S,1.252,inf
105,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,6,0,256,0,Nvidia GeForce MX,Windows 10,1.58,inf
106,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.85,inf
107,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.3,inf
108,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.2,inf
109,Lenovo,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.58,inf
110,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,1000,256,0,Nvidia GeForce MX,Windows 10,1.5,inf
111,Dell,Ultrabook,13.3,3200x1800,3200,1800,0,0,1,0,1,Intel Core i7,2.4,8,0,256,0,Intel Iris,Windows 10,1.23,inf
112,Lenovo,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.37,inf
113,HP,Notebook,14.0,1366x768,1366,768,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.63,inf
114,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,inf
115,HP,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.26,inf
116,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.63,inf
117,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,1000,256,0,Nvidia GeForce MX,Windows 10,2.16,inf
118,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.0,inf
119,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,inf
120,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i3,2.4,6,1000,0,0,Intel HD Graphics,Windows 10,2.1,inf
121,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,1.8,inf
122,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,No OS,2.2,inf
123,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,2.5,inf
124,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,0,256,0,AMD Radeon,Windows 10,2.1,inf
125,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,500,0,0,Intel HD Graphics,No OS,1.86,inf
126,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Intel UHD Graphics,Windows 10,1.63,inf
127,Asus,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,0,64,0,AMD Radeon,Windows 10 S,1.65,inf
128,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Windows 10,2.8,inf
129,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.5,inf
130,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,AMD Radeon,Windows 10,2.36,inf
131,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,AMD Radeon,Windows 10,2.2,inf
132,Acer,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,inf
133,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.7,4,0,256,0,Nvidia GeForce MX,Windows 10,2.2,inf
134,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Intel HD Graphics,Windows 10,2.05,inf
135,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.63,inf
136,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,No OS,1.9,inf
137,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,3.0,inf
138,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Nvidia GeForce MX,No OS,2.2,inf
139,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,4,0,256,0,Intel HD Graphics,Windows 10,1.32,inf
140,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,4,1000,0,0,Nvidia GeForce MX,Windows 10,3.0,inf
141,Lenovo,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,1.75,inf
142,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,No OS,2.4,inf
143,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.3,4,500,0,0,Intel HD Graphics,Windows 10,2.1,inf
144,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.5,4,0,256,0,AMD Radeon,Windows 10,1.86,inf
145,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.25,inf
146,HP,Ultrabook,12.5,3840x2160,3840,2160,0,0,1,1,1,Intel Core M,1.2,8,0,512,0,Intel HD Graphics,Windows 10,0.97,inf
147,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.0,inf
148,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,inf
149,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.1,inf
150,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,2.56,inf
151,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,0,128,0,Intel HD Graphics,Windows 10,1.9,inf
152,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.8,inf
153,HP,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.7,4,0,256,0,Intel HD Graphics,Windows 10,1.48,inf
154,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,6,0,256,0,AMD Radeon,Windows 10,1.91,inf
155,Lenovo,2 in 1 Convertible,14.0,1920x1080,1920,1080,1,0,0,1,1,Intel Core i3,2.4,4,0,256,0,Intel HD Graphics,Windows 10,1.74,inf
156,Asus,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel HD Graphics,Windows 10,1.1,inf
157,Dell,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.56,inf
158,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.2,4,500,0,0,Intel HD Graphics,Windows 10,2.1,inf
159,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,2.03,inf
160,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,0,256,0,Nvidia GeForce MX,Windows 10,3.0,inf
161,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,2.13,inf
162,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,inf
163,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.1,inf
164,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.4,inf
165,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.1,inf
166,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.56,inf
167,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,3.0,inf
168,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.49,inf
169,Huawei,Ultrabook,13.0,2160x1440,2160,1440,0,1,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.05,inf
